Name,Type,MinMarks,MaxIncome,Category,Gender,Course,Amount,Website,Portal,Steps,Documents,Deadline,MinYear,MaxYear
Foundation for Excellence (FFE) Scholarship,NGO,70,300000,OC-BC-MBC-SC-ST,All,Engineering,Variable,https://ffe.org,https://ffe.org,"1.Register online,2.Fill application form,3.Upload documents,4.Attend interview,5.Submit application","Aadhaar Card,Class 12 Mark Sheet,Income Certificate,College Bonafide,Bank Passbook,Passport Size Photo",July,1,1
Reliance Foundation Undergraduate Scholarship,Private,60,1500000,OC-BC-MBC-SC-ST,All,Engineering-Medical-Arts-Commerce-Science,200000,https://scholarships.reliancefoundation.org,https://scholarships.reliancefoundation.org,"1.Register online,2.Fill application,3.Upload documents,4.Complete aptitude test,5.Submit application","Aadhaar Card,Admission Letter,Income Certificate,Class 12 Mark Sheet,Bank Passbook,Passport Size Photo",October,1,1
Kotak Kanya Scholarship,Private,75,600000,OC-BC-MBC-SC-ST,Female,Engineering-Medical-Professional,150000,https://www.kotakeducation.org,https://www.buddy4study.com,"1.Register on Buddy4Study,2.Fill application form,3.Upload documents,4.Submit application,5.Wait for selection","Aadhaar Card,Class 12 Mark Sheet,Income Certificate,Admission Letter,Bank Passbook,Passport Size Photo",September,0,1
Vidyadhan Scholarship Programme,NGO,90,200000,OC-BC-MBC-SC-ST,All,Engineering-Medical-Arts-Commerce-Science,10000,https://www.vidyadhan.org,https://www.vidyadhan.org,"1.Register online,2.Fill application,3.Upload documents,4.Shortlisting,5.Interview","Class 10 Mark Sheet,Class 12 Mark Sheet,Income Certificate,Aadhaar Card,Bank Passbook,Passport Size Photo",August,0,1
HDFC Bank Parivartan ECS Scholarship,Private,55,250000,OC-BC-MBC-SC-ST,All,All-UG-PG,75000,https://www.hdfcbank.com,https://www.buddy4study.com,"1.Register on Buddy4Study,2.Fill application,3.Upload documents,4.Submit application,5.Track status","Aadhaar Card,Mark Sheets,Income Certificate,Bonafide Certificate,Bank Passbook,Passport Size Photo",September,1,4
Name,Type,MinMarks,MaxIncome,Category,Gender,Course,Amount,Website,Portal,Steps,Documents,Deadline,MinYear,MaxYear
7.5% Government School Students Special Reservation Scheme,Tamil Nadu Government,35,99999999,OC-BC-MBC-SC-ST,All,Engineering-Medical-Agriculture-Law-Veterinary-Fisheries,Full Tuition Fee Waiver,https://www.tn.gov.in,https://www.tneaonline.org,"1.Apply through Tamil Nadu counselling,2.Claim 7.5% reservation,3.Upload required certificates,4.Seat allotment,5.Fee waiver processed","Government School Study Certificate (Classes 6-12),Community Certificate,Aadhaar Card,Class 12 Mark Sheet,Transfer Certificate,Counselling Allotment Order",September,0,1
Tamil Pudhalvan Scheme,Tamil Nadu Government,33,99999999,OC-BC-MBC-SC-ST,Male,All-UG-Diploma-ITI,12000,https://www.tn.gov.in,https://umis.tn.gov.in,"1.Complete college admission,2.Verify eligibility through institution,3.Submit Aadhaar and bank details,4.Institution verification,5.DBT credited monthly","Aadhaar Card,Government School Study Certificate,Bank Passbook,Bonafide Certificate,Class 10 & 12 Mark Sheets",Variable,0,1
Pudhumai Penn Scheme,Tamil Nadu Government,33,99999999,OC-BC-MBC-SC-ST,Female,All-UG-Diploma-ITI,12000,https://www.tn.gov.in,https://pudhumaipenn.tn.gov.in,"1.Complete college admission,2.Submit documents through institution,3.Institution verification,4.Bank verification,5.Monthly DBT","Aadhaar Card,Government School Study Certificate,Bank Passbook,Bonafide Certificate,Class 10 & 12 Mark Sheets",Variable,0,1
Agaram Foundation Scholarship,NGO,70,300000,OC-BC-MBC-SC-ST,All,Engineering-Medical-Arts-Commerce-Science,Variable,https://www.agaram.in,https://www.agaram.in,"1.Register online,2.Fill application form,3.Upload required documents,4.Attend interview,5.Final selection","Aadhaar Card,Class 12 Mark Sheet,Income Certificate,Admission Letter,Bank Passbook,Passport Size Photograph",August,0,1
Maatram Foundation Scholarship,NGO,70,300000,OC-BC-MBC-SC-ST,All,Engineering,Variable,https://www.maatram.org,https://www.maatram.org,"1.Register online,2.Fill application form,3.Upload documents,4.Attend interview,5.Final selection","Aadhaar Card,Class 12 Mark Sheet,Income Certificate,Admission Letter,Bank Passbook,Passport Size Photograph",August,0,1
Name,Type,MinMarks,MaxIncome,Category,Gender,Course,Amount,Website,Portal,Steps,Documents,Deadline,MinYear,MaxYear
7.5% Government School Students Special Reservation Scheme,Tamil Nadu Government,35,99999999,OC-BC-MBC-SC-ST,All,Engineering-Medical-Agriculture-Law-Veterinary-Fisheries,Full Tuition Fee Waiver,https://www.tn.gov.in,https://www.tneaonline.org,"1.Apply through Tamil Nadu counselling,2.Claim 7.5% reservation,3.Upload required certificates,4.Seat allotment,5.Fee waiver processed","Government School Study Certificate (Classes 6-12),Community Certificate,Aadhaar Card,Class 12 Mark Sheet,Transfer Certificate,Counselling Allotment Order",September,0,1
Tamil Pudhalvan Scheme,Tamil Nadu Government,33,99999999,OC-BC-MBC-SC-ST,Male,All-UG-Diploma-ITI,12000,https://www.tn.gov.in,https://umis.tn.gov.in,"1.Complete college admission,2.Verify eligibility through institution,3.Submit Aadhaar and bank details,4.Institution verification,5.DBT credited monthly","Aadhaar Card,Government School Study Certificate,Bank Passbook,Bonafide Certificate,Class 10 & 12 Mark Sheets",Variable,0,1
Pudhumai Penn Scheme,Tamil Nadu Government,33,99999999,OC-BC-MBC-SC-ST,Female,All-UG-Diploma-ITI,12000,https://www.tn.gov.in,https://pudhumaipenn.tn.gov.in,"1.Complete college admission,2.Submit documents through institution,3.Institution verification,4.Bank verification,5.Monthly DBT","Aadhaar Card,Government School Study Certificate,Bank Passbook,Bonafide Certificate,Class 10 & 12 Mark Sheets",Variable,0,1
Agaram Foundation Scholarship,NGO,70,300000,OC-BC-MBC-SC-ST,All,Engineering-Medical-Arts-Commerce-Science,Variable,https://www.agaram.in,https://www.agaram.in,"1.Register online,2.Fill application form,3.Upload required documents,4.Attend interview,5.Final selection","Aadhaar Card,Class 12 Mark Sheet,Income Certificate,Admission Letter,Bank Passbook,Passport Size Photograph",August,0,1
Maatram Foundation Scholarship,NGO,70,300000,OC-BC-MBC-SC-ST,All,Engineering,Variable,https://www.maatram.org,https://www.maatram.org,"1.Register online,2.Fill application form,3.Upload documents,4.Attend interview,5.Final selection","Aadhaar Card,Class 12 Mark Sheet,Income Certificate,Admission Letter,Bank Passbook,Passport Size Photograph",August,0,1
Name,Type,MinMarks,MaxIncome,Category,Gender,Course,Amount,Website,Portal,Steps,Documents,Deadline,MinYear,MaxYear
AICTE Pragati Scholarship,Central Government,60,800000,OC-BC-MBC-SC-ST,Female,Engineering,50000,https://www.aicte-india.org,https://www.aicte-pragati-saksham-gov.in,"1.Register,2.Fill application,3.Upload documents,4.Institute verification,5.Submit","Aadhaar Card,Class 12 Mark Sheet,Income Certificate,Admission Letter,Bank Passbook,Passport Size Photograph",October,1,1
AICTE Saksham Scholarship,Central Government,60,800000,OC-BC-MBC-SC-ST,All,Engineering,50000,https://www.aicte-india.org,https://www.aicte-pragati-saksham-gov.in,"1.Register,2.Fill application,3.Upload documents,4.Institute verification,5.Submit","Aadhaar Card,Disability Certificate,Income Certificate,Admission Letter,Bank Passbook,Passport Size Photograph",October,1,1
Central Sector Scheme of Scholarship (CSSS),Central Government,80,450000,OC-BC-MBC-SC-ST,All,All-UG,20000,https://www.education.gov.in,https://scholarships.gov.in,"1.Register on NSP,2.Fill application,3.Upload documents,4.Verify through institution,5.Submit","Aadhaar Card,Class 12 Mark Sheet,Income Certificate,Bank Passbook,Bonafide Certificate",October,1,3
Cummins Scholarship Program,Private,60,500000,OC-BC-MBC-SC-ST,Female,Engineering,Variable,https://www.cummins.com,https://www.cummins.com,"1.Apply online,2.Upload documents,3.Shortlisting,4.Interview,5.Final selection","Aadhaar Card,Mark Sheets,Income Certificate,Admission Letter,Bank Passbook",September,1,1
Foundation For Excellence (FFE) Scholarship,NGO,70,300000,OC-BC-MBC-SC-ST,All,Engineering,Variable,https://ffe.org,https://ffe.org,"1.Register online,2.Fill application,3.Upload documents,4.Interview,5.Final selection","Aadhaar Card,Class 12 Mark Sheet,Income Certificate,Admission Letter,Bank Passbook,Passport Size Photograph",July,1,1